Target, Target start, Target end, Tag, Comment, CTS URN, IIIF Canvas path, Entity URI, Creator URI
Antrum,10321,10327,Phylake,Commander: Podarkes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.695@Antrum,/homer/VA/VA036VN-0538/canvas,http://pleiades.stoa.org/places/83813,https://recogito.pelagios.org/chiara-p
Meliboia,11420,11428,Methonians,Commander: Philoktetes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.715@Meliboia,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/543784,https://recogito.pelagios.org/chiara-p
Ares,6938,6942,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.625@Ares,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
Ares,13985,13989,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.765@Ares,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Iphitos,1713,1720,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.515@Iphitos,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Diomedes,3928,3936,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560@Diomedes,/homer/VA/VA034VN-0536/canvas,,https://recogito.pelagios.org/chiara-p
Zeus,7312,7316,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.635@Zeus,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
Tlepolemos,8520,8530,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.660@Tlepolemos,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Thessalos,9476,9485,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.675@Thessalos,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Guneus,12936,12942,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.745@Guneus,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Prothoos,13353,13361,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.755@Prothoos,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Locrians,2526,2534,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.535@Locrians,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540919,https://recogito.pelagios.org/chiara-p
Eteonos,779,786,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.495@Eteonos,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/543704,https://recogito.pelagios.org/chiara-p
Hyampolis,1865,1874,Phocaeans,"Commanders: Schedios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520@Hyampolis,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540820,https://recogito.pelagios.org/chiara-p
Calliarus,2399,2408,Locrians,Commander: Ajax Oileus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.530@Calliarus,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540847,https://recogito.pelagios.org/chiara-p
Phocaeans,2043,2052,Phocaeans,"Commanders: Schedios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.525@Phocaeans,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/550823,https://recogito.pelagios.org/chiara-p
Mases,3903,3908,Argolis,"Commanders: Diomedes, Sthenelos, Euryalos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560@Mases,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/570463,https://recogito.pelagios.org/chiara-p
Helos,5296,5301,Pylos,Commander: Nestor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.590@Helos,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/550568,https://recogito.pelagios.org/chiara-p
Parrhasia,6060,6069,Arcadians,Commander: Agapenor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.605@Parrhasia,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/570564,https://recogito.pelagios.org/chiara-p
Hyrtakos,17433,17441,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.835@Hyrtakos,/homer/VA/VA038VN-0540/canvas,,https://recogito.pelagios.org/chiara-p
Mesthles,18832,18840,,"Commanders: Chromis, Ennomos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.860@Mesthles,/homer/VA/VA039RN-0040/canvas,,https://recogito.pelagios.org/chiara-p
Aiakos,18649,18655,Mysians,"Commanders: Chromis, Ennomos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.860@Aiakos,/homer/VA/VA039RN-0040/canvas,,https://recogito.pelagios.org/chiara-p
Maeander,19119,19127,Carians,Commander: Nastes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.865@Maeander,/homer/VA/VA039RN-0040/canvas,http://pleiades.stoa.org/places/599777,https://recogito.pelagios.org/chiara-p
Iton,10294,10298,Phylake,Commander: Podarkes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.695@Iton,/homer/VA/VA036VN-0538/canvas,http://pleiades.stoa.org/places/540842,https://recogito.pelagios.org/chiara-p
Aesepos,16835,16842,Teleans,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.825@Aesepos,/homer/VA/VA038VN-0540/canvas,http://pleiades.stoa.org/places/511141,https://recogito.pelagios.org/chiara-p
Pheres,13738,13744,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.760@Pheres,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
